DIAGNOSEN IÐÐ Ð	KHK	I LAD PCI
Stent Restenose bzw	KHK	Progredienz daher akute
LN_ÐÐÐÐ besteht eine	KHK	ischämische Kardiomyopathie Z
LN_ÐÐÐÐ besteht eine	KHK	Z n ICD
IÐÐ Hypertonie arteriell	KHK	II St p
LN_ÐÐÐÐÐ besteht eine	KHK	mit Z n
IÐÐ Ð Ausschluss	KHK	CA ÐÐ ÐÐ
der sich eine	KHK	III mit Hauptstammbeteiligung
V a eine	KHK	Progression Der Pat
LN_ÐÐÐÐ besteht eine	KHK	Zustand nach NSTEMI
Gefäßschlängelung und verzögerter	KM	Abstrom passend zu
sowie bei bei	KM	Studie kein Hinweis
Abfl USKG RA	LA	grenzwertig RV LV
BEFUNDE USKG RA	LA	etwas dilatiert RV
Abfl USKG RA	LA	etwas dilatiert RV
Abfl USKG RA	LA	etwas dilatiert RV
BEFUNDE USKG RA	LA	grenzwertig RV LV
BEFUNDE USKG RA	LA	grenzwertig RV LV
Ð USKG RA	LA	dilatiert RV LV
BEFUNDE USKG RA	LA	grenzwertig weit RV
Ð USKG RA	LA	grenzwertig RV LV
Transseptale Punktion des	LA	Indikation Vorhofflimmern paroxysmal
BEFUNDE USKG RA	LA	und RV normal
BEFUNDE USKG RA	LA	dilatiert RV LV
konk USKG RA	LA	etwas dilatiert RV
ÐÐ MINS III	LA	Rechtsdrucke erhöht THERAPIE
Ð Gefäß Erkrankung	LAD	mit ÐÐ iger
Ð Gefäß Erkrankung	LAD	mit ÐÐ iger
Ð DES in	LAD	am ÐÐ ÐÐ
Ð DES in	LAD	am ÐÐ ÐÐ
im distalen Drittel	LAD	mit ÐÐ iger
im proximalen Drittel	LAD	mit ÐÐ iger
im mittleren Drittel	LAD	mit ÐÐ ÐÐ
Wedge ÐÐ mmHg	LAD	mit ÐÐ iger
RCA THERAPIE Erfolgreiche	LAD	PCI Implantation von
Stent s in	LAD	Erfolgreiche PTCA prox
Erkrankung Stent ok	LAD	Stent ok OM
s in prox	LAD	Implantation von Ð
Drittel LIMA auf	LAD	ohne Stenose ACVB
ÐÐÐÐ BMS ad	LAD	St p Reangio
Stent s in	LAD	ALAÐ Implantation von
Ð Ð CTO	LAD	Ð Ð gute
ÐÐ CKMB ÐÐ	LDH	ÐÐÐ Troponin T
CK MB ÐÐ	LDH	ÐÐÐ NT proBNP
ÐÐÐ CKMB ÐÐ	LDHÐÐÐ	Troponin T ÐÐ
im mittleren Drittel	LIMA	auf LAD ohne
sin kann eine	LIMA	LAD Insertions Stenose
für Kardiologie im	LKH	Univ Klinikum Graz
KHK II mit	LM	ÐÐ mit St
Beurteilung Bei Frau	LN_ÐÐÐÐ	besteht eine dilatative
Schließlich konnte Herr	LN_ÐÐÐÐ	am ÐÐ ÐÐ
BEURTEILUNG Bei Herrn	LN_ÐÐÐÐ	besteht ein Z
BEURTEILUNG Bei Hr	LN_ÐÐÐÐ	besteht eine KHK
keine Komplikationen Herr	LN_ÐÐÐÐ	konnte am ÐÐ
OA Dr LN_ÐÐÐÐ	LN_ÐÐÐÐ	MEL DEÐÐÐ Implantation
BEURTEILUNG Bei Herrn	LN_ÐÐÐÐ	besteht eine dilatative
BEURTEILUNG Bei Herrn	LN_ÐÐÐÐ	besteht eine operierte
Schlaganfallrisiko Anamnese Frau	LN_ÐÐÐÐ	kommt zur geplanten
ohne Komplikationen Frau	LN_ÐÐÐÐ	kann schließlich am
Komplikationen sodass Herr	LN_ÐÐÐÐ	schließlich am ÐÐ
werden sollte Herr	LN_ÐÐÐÐ	kann schließlich am
sodass Herr Prof	LN_ÐÐÐÐ	am ÐÐ ÐÐ
Univ Prof Dr	LN_ÐÐÐÐ	in ca Ð
min ÜLT inkompl	LSB	träger R Anstieg
SR ÐÐ min	LT	PQ ÐÐÐms QRS
SR ÐÐ min	LT	PQ ÐÐÐms QRS
SR ÐÐ min	LT	PQ ÐÐÐ ms
BEFUNDE EKG SR	LT	ÐÐ min PQ
SR ÐÐ min	LT	PQ ÐÐÐmsec QRS
SR ÐÐ min	LT	R Regression über
BEFUNDE EKG SR	LT	ERST Echokardiographie Dilatation
LA grenzwertig RV	LV	normal weit LVH
LA grenzwertig RV	LV	normal weit LVH
LA dilatiert RV	LV	normal weit LVH
ÐÐÐ RV ÐÐÐ	LV	ÐÐÐ Schockimpedanz ÐÐ
ÐÐÐ RV ÐÐÐ	LV	ÐÐÐ Schockimpedanz ÐÐ
Ð Ð ms	LV	Ð Ð V
RV normal weit	LV	grenzwertig weit LVH
RV normal weit	LV	grenzwertig weit LVH
LA grenzwertig RV	LV	normal weit geringe
ÐV Ð Ðmsec	LV	ÐV Ð Ðmsec
etwas dilatiert RV	LV	normal weit geringe
LV EF ÐÐ	LV	EDP ÐÐ mmHg
ÐÐÐ RV ÐÐÐ	LV	ÐÐÐÐ Schockimpedanz ÐÐ
LA grenzwertig RV	LV	normal weit Septum
ÐÐÐ RV ÐÐÐ	LV	ÐÐÐÐ stabil Reizschwelle
RV grenzwertig weit	LV	normal weit HK
aneurysmatische Ausweitung des	LV	mit basalen HW
Funktion diffuse Hypokinesie	LV	EF ÐÐ LV
LVH normale Pumpfunktion	LV	EDP ÐÐ mmHg
LVH normale Pumpfunktion	LV	EDP ÐÐ mmHg
RV ÐÐ Ð	LV	ÐÐ Impedanz atrial
mit geringgradig eingeschränkter	LV	Funktion bei diffuser
ÐÐ Ð mV	LV	ÐÐ Ð mV
weit paradoxe Septumbewegung	LV	EF ÐÐ ÐÐ
bei diffuser HK	LV	EF ÐÐ LV
mit hochgradig eingeschränkter	LV	Funktion EF ÐÐ
ÐÐV Ð Ðmsec	LV	Ð ÐV Ð
Abschnitte Spontankontrast im	LV	abnormer Kontraktionsablauf bei
bei apikaler Akinesie	LV	EDP ÐÐ mmHg
HH gute globale	LVF	keine regionalen WBS
LV normal weit	LVH	mit diastolischer Relaxationsstörung
LV normal weit	LVH	mit diastolischer Relaxationsstörung
LV normal weit	LVH	mit diastolischer Relaxationsstörung
LV normal weit	LVH	EF ÐÐ ÐÐ
LV grenzwertig weit	LVH	mit diastolischer Relaxationsstörung
LV grenzwertig weit	LVH	HK bis AK
LV normal weit	LVH	geringe Septum HK
LV grenzwertig weit	LVH	geringe diffuse HK
Herzhöhlen normal weit	LVH	mit diastolischer Relaxationsstörung
Herzhöhlen normal weit	LVH	mit diastolischer Relaxationsstörung
ÐÐÐÐ ÐÐÐ Ð	MBq	Thallium ÐÐÐ Chlorid
Ð ÐÐÐ ÐÐ	MEL	DEÐÐÐ Implantation eines
Varizen keine Sonstiges	MET	Ð Ð rh
bei St p	MI	Anamnese Dyspnoe NYHA
EF ÐÐ ÐÐ	MINS	I TRINS I
und AINS I	MINS	II III TRINS
AINS I II	MINS	I II TRINS
AINS I II	MINS	I II TRINS
bei VH Fli	MINS	II III TRINS
mit AINS I	MINS	II III TRINS
EF ÐÐ ÐÐ	MINS	II TRINS II
ÐÐ Mitralsegel verdickt	MINS	Gr I II
diast Relaxationsstörung geringgr	MINS	geringgr TRINS mit
max Gradient ÐÐmmHg	MINS	I TRINS I
Mitralsegel verdickt geringgr	MINS	geringgr TRINS mit
und AINS I	MINS	II TRINS II
EF ÐÐ ÐÐ	MINS	I II TRINS
EF ÐÐ ÐÐ	MINS	I kein Perikarderguß
EF ÐÐ ÐÐ	MINS	I kein Perikarderguß
EF ÐÐ ÐÐ	MINS	I TRINS Ð
und AINS I	MINS	I TRINS I
max Gradient ÐÐmmHg	MINS	II TRINS I
Ð Ð cmÐ	MINS	I II TRINS
EF ÐÐ ÐÐ	MINS	Ð I kein
Ð Ð cmÐ	MINS	I kein Perikarderguß
AST I II	MINS	I TRINS I
AST II III	MINS	II TRINS I
Halswirbelsäule ÐÐÐÐÐÐÐÐÐ ÐD	MPR	ÐD MPR ÐD
ÐD MPR ÐD	MPR	ÐD MPR CT
Ð Ð Diamicron	MR	ÐÐmg Ð Ð
Nachtwert ÐÐÐ ÐÐmmHg	MR	Angiographie der Nierenarterien
des Gehirnschädels ÐÐÐÐÐÐÐÐÐ	MR	Angiografie intracerebral ÐÐÐÐÐÐÐÐÐ
ÐÐ ÐÐ Uhr	MR	Angiographie der Nierenarterien
Schädel MRT Untersuchungen	MR	des Gehirnschädels ÐÐÐÐÐÐÐÐÐ
III IÐÐ Ð	NINS	DÐÐ Ð normochrome
DIAGNOSEN IÐÐ Ð	NSTEMI	Nicht ST Hebungsinfarkt
DES LAD ÐÐÐÐ	NSTEMI	arterielle Hypertonie NIDDM
St p subakuter	NSTEMI	Ð ÐÐ St
über Belastungsdyspnoe entspr	NYHA	II Die Pat
im Sinne von	NYHA	II an Die
ÐÐÐÐ Anamnese Dyspnoe	NYHA	II keine AP
Dil CMP dzt	NYHA	II Therapeutisch empf
bei starker Belastung	NYHA	II keine AP
Aktuell zufriedenstellende Belastbarkeit	NYHA	II Seit der
Dil CMP dzt	NYHA	I Therapeutisch empf
biolog AKE Sorin	OAK	seit ÐÐ ÐÐ
im proximalen Drittel	OM	mit ÐÐ ÐÐ
Stunden Elektiv PCI	OM	Stenose am ÐÐ
PROZEDERE Aortokoronare Bypassoperation	OP	Klasse Ð Ð
PROZEDERE Aortokoronare Bypassoperation	OP	Klasse Ð Ð
St p Bypass	OP	ÐÐÐÐ St p
Gradient ÐÐmmHg entsprechend	PAP	ÐÐ ÐÐmmHg syst
Gradient ÐÐmmHg entsprechend	PAP	ÐÐ ÐÐmmHg syst
Gradient ÐÐmmHg entsprechend	PAP	ÐÐ ÐÐmmHg syst
Gradient ÐÐmmHg entsprechend	PAP	ÐÐ ÐÐmmHg syst
ÐÐmmHg entspr einem	PAP	von rund ÐÐ
mmHg entsprechend einem	PAP	von rund ÐÐ
mmHg entsprechend einem	PAP	von rund ÐÐ
ÐÐmmHg entsprechend einem	PAP	von rund ÐÐ
ÐÐmmHg entsprechend einem	PAP	von rund ÐÐ
mmHg entsprechend einem	PAP	von ÐÐ kein
Herzkatheter Untersuchungen Koronarangiographie	PCI	einzeitig PTCA Mehrgefäß
THERAPIE Erfolgreiche RCA	PCI	Implantation von Ð
THERAPIE Erfolgreiche RCA	PCI	Implantation von Ð
THERAPIE Erfolgreiche RCA	PCI	Implantation von Ð
Koronarangiographie Untersuchungen Koronarangiographie	PCI	akut PTCA Eingefäß
Koronarangiographie Untersuchungen Koronarangiographie	PCI	akut PTCA Eingefäß
Koronarangiographie Untersuchungen Koronarangiographie	PCI	akut PTCA Mehrgefäß
THERAPIE Erfolgreiche LAD	PCI	Implantation von Ð
Herzkatheter Untersuchungen Koronarangiographie	PCI	elektiv PTCA Eingefäß
Drittel Erfolgreiche LAD	PCI	Implantation von Ð
THERAPIE Erfolgreiche Cx	PCI	Implantation von Ð
Kardiomyopathie Zustand nach	PCI	mehrerer signifikanter Stenosen
Zustand nach mehrfacher	PCI	Zustand nach prophylaktischer
Herzkatheter Untersuchungen Koronarangiographie	PCI	elektiv PTCA Mehrgefäß
RCA SI elektive	PCI	der LAD DIAGNOSEN
III St p	PCI	mit Ð fach
Komplikationsloser Verschluss des	PFO	mittels Cardia ÐÐ
ÐÐ min Linkstyp	PNV	R Umschlag in
min I Typ	PQ	Zeit im Normbereich
ÐÐ min ÜLT	PQ	ÐÐÐms AV Block
ÐÐ min ÜLT	PQ	ÐÐÐms AV Block
min LT P	PQ	unauff QRS schmal
min Indiff Typ	PQ	Zeit normal QRS
ÐÐ min LT	PQ	ÐÐÐms QRS schmal
ÐÐ min Indifferenztyp	PQ	ÐÐÐms R Umschlag
AV Block I	PQ	ÐÐÐ ms träger
LT ÐÐ min	PQ	und QRS oB
SR ÐÐ min	PQ	ÐÐÐ QRS schmal
ÐÐ min LT	PQ	Ð Ð QRS
AV Block I	PQ	ÐÐÐmsec R Reduktion
AV Block I	PQ	ÐÐÐmsec Indiff Typ
ÐÐ min Linkstyp	PQ	ÐÐÐms R Umschlag
ÐÐ min Linkstyp	PQ	ÐÐÐms R Umschlag
ÐÐ min LT	PQ	ÐÐÐmsec QRS ÐÐmsec
ÐÐ min LT	PQ	Ð ÐÐ R
ÐÐ min Linkstyp	PQ	ÐÐÐms AV Block
ÐÐ min Linkstyp	PQ	ÐÐÐms AV Block
min Indiff Typ	PQ	ÐÐÐ ms QRS
ÐÐÐ min LT	PQ	Zeit im Normbereich
min L Typ	PQ	Zeit im Normbereich
SR ÐÐ min	PQ	ÐÐÐms QRS ÐÐÐms
THERAPIE Pass SMI	PTBV	der Aortenklappestenose mit
Koronarangiographie PCI akut	PTCA	Eingefäß Stentimplantation Eingefäß
Koronarangiographie PCI akut	PTCA	Eingefäß Stentimplantation Eingefäß
Koronarangiographie PCI einzeitig	PTCA	Eingefäß Stentimplantation Eingefäß
einzeitig PTCA Mehrgefäß	PTCA	mehrfach Stentimplantation Mehrgefäß
Koronarangiographie PCI akut	PTCA	Eingefäß Rekanalisation Stentimplantation
DE beschichteten Stents	PTCA	mit Drug Eluting
erfolgreiche Stent re	PTCA	mit Dior ballon
FA mit OAK	PZ	aktuell ÐÐ DIAGNOSEN
PQ Zeit normal	QRS	Komplex schmal RS
PQ Zeit normal	QRS	Komplex schmal RS
PQ Zeit normal	QRS	Komplex schmal R
LT PQ oB	QRS	schmal RS in
Zeit ÐÐÐ ms	QRS	Dauer ÐÐÐ ms
min Indiff Typ	QRS	Komplex schmal R
IT PQ ÐÐÐms	QRS	schmal T neg
LT PQ normal	QRS	schmal R S
ÐÐÐ min ÜLT	QRS	ÐÐms träger R
min PQ und	QRS	o B R
min PQ ÐÐÐms	QRS	schmal RS in
sign Verkürzung des	QRS	Endgültig programmiert wurde
in VÐ VÐ	QRS	Breite ÐÐÐmsec QTC
VH Flimmern IT	QRS	ÐÐÐms RS in
min RSB mit	QRS	Dauer ÐÐÐ ms
Flattern ÐÐÐ min	QRS	ÐÐms RSU in
ÐÐ min LT	QRSs	R S in
ÐÐ min LT	QRSs	R S in
VÐ Ð RSB	QTc	ÐÐÐms R Umschlag
S in VÐ	QTc	ÐÐÐms Endstrecken unauffällig
grenzw QRS und	QTc	normal hohe Twellen
T Abfl USKG	RA	LA grenzwertig RV
Endstrecken konkordant USKG	RA	LA grenzwertig RV
RELEVANTE BEFUNDE USKG	RA	LA etwas dilatiert
T Abfl USKG	RA	LA etwas dilatiert
RELEVANTE BEFUNDE USKG	RA	LA grenzwertig RV
RELEVANTE BEFUNDE USKG	RA	LA grenzwertig RV
Endstrecken konkordant USKG	RA	LA etwas dilatiert
SM Sonden in	RA	RV orthotop kein
RELEVANTE BEFUNDE USKG	RA	LA dilatiert RV
RELEVANTE BEFUNDE USKG	RA	LA deutlich dilatiert
RELEVANTE BEFUNDE USKG	RA	LA und RV
aVL VÐ USKG	RA	LA deutlich dilatiert
I aVL USKG	RA	LA grenzwertig RV
im proximalen Drittel	RCA	mit ÐÐ iger
im proximalen Drittel	RCA	mit ÐÐ iger
CX m ch	RCA	mit ÐÐ iger
CX m ch	RCA	m ch PROZEDERE
III St p	RCA	Stent re PTCA
St p PCI	RCA	Ostium mit Implant
CX m ch	RCA	mit ÐÐ ÐÐ
LAD m ch	RCA	m ch PROZEDERE
CX m ch	RCA	m ch THERAPIE
RCA THERAPIE Erfolgreiche	RCA	PCI Implantation von
im mittleren Drittel	RCA	mit Verschluß im
im distalen Drittel	RCA	mit ÐÐ iger
Stent s in	RCA	PROZEDERE Intensiviertes Risikofaktorenmanagement
Stent s in	RCA	Implantation von Ð
Stenosen ACVB auf	RCA	mit ÐÐ Stenose
proximal am Abgang	RCA	m ch PROZEDERE
CX m ch	RCA	ohne Stenose PROZEDERE
BM Stentimplantation in	RCA	ischämische CMP IÐÐ
VA bds keine	RG	s Eupnoe in
VA bds keine	RG	s Cor HA
VA bds keine	RG	s Abdomen BD
VA bds keine	RG	s Abd BD
kein Husten keine	RG	s Eupnoe in
VA bds keine	RGs	Abdomen BD weich
proximalen Drittel OM	RIM	mit ÐÐ iger
CABG LAD und	RIM	vs PTCA Stentimplantation
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
Ödeme keine Varizen	RR	bei Aufnahme li
des BZ des	RR	sowie der Lipide
des BZ des	RR	sowie der Lipide
des BZ des	RR	sowie der Lipide
des BZ des	RR	sowie der Lipide
des BZ des	RR	sowie der Lipide
des BZ des	RR	sowie der Lipide
bis ÐÐÐ min	RR	bis ÐÐÐ ÐÐmmHg
bis ÐÐÐ min	RR	bis ÐÐÐ ÐÐmmHg
keine Aufgrund der	RR	Werte in der
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐÐ mmHg
DIAGNOSEN RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐÐ mHg
grob neurolog unauff	RR	bei Aufnahme ÐÐÐ
keine praetibialen Beinödeme	RR	ÐÐÐ ÐÐ mmHg
bis ÐÐÐ min	RR	von ÐÐÐ ÐÐ
bis ÐÐÐ min	RR	bis ÐÐÐ ÐÐÐmmHg
bis ÐÐÐ min	RR	bis ÐÐÐ ÐÐÐmmHg
bis ÐÐÐ min	RR	bis ÐÐÐ ÐÐÐmmHg
keine prätib Beinödeme	RR	ÐÐÐ ÐÐmmHg BEURTEILUNG
grob neurologisch unauff	RR	bei Aufnahme li
bis ÐÐÐ min	RR	bis ÐÐÐ ÐÐ
regelmäßigen Blutdruckkontrollen Ziel	RR	ÐÐÐ ÐÐ mmHg
Ödeme keine Varizen	RR	bei Aufnahme re
informiert Aufgrund der	RR	Werte in der
Adipositas RELEVANTE BEFUNDE	RR	ÐÐÐ ÐÐ mmHg
Erregungsbildung keine ERBS	RR	ÐÐÐ ÐÐ mmHg
min Anstieg des	RR	von ÐÐÐ ÐÐmmHg
ÐÐ mg seitens	RR	Profil sollte dies
neurolog grob unauff	RR	ÐÐÐ ÐÐ mmHg
über der Vorderwand	RS	Umschlag in V
über der Vorderwand	RS	Umschlag in V
über der Vorderwand	RS	Umschlag in V
über der Vorderwand	RS	Umschlag in V
normal QRS schmal	RS	in VÐ EST
QRS ÐÐÐ ms	RS	in V Ð
Anstieg bis VÐ	RS	in VÐ ERST
QRS o B	RS	Umschlag in V
ÐÐÐms QRS normal	RS	in VÐ EST
LT QRS schmal	RS	in VÐ EST
QRS ÐÐ ms	RS	in V Ð
QRS Komplex schmal	RS	Umschlag in VÐ
QRS Komplex schmal	RS	Umschlag in VÐ
II III AVF	RS	in VÐ VÐ
rsR VÐ Ð	RSB	R Umschlag in
QRS Ð ÐÐ	RSB	mit entsprechenden Repolar
ÐÐ min ÜLT	RSB	fehlender R Umschlag
und QRS oB	RSU	in VÐ EST
ÐÐÐms QRS schmal	RSU	in VÐ VÐ
QRS ÐÐms LT	RSU	in VÐ EST
RA LA grenzwertig	RV	LV normal weit
RA LA grenzwertig	RV	LV normal weit
RA LA grenzwertig	RV	LV normal weit
RA LA grenzwertig	RV	LV normal weit
RA LA grenzwertig	RV	LV normal weit
LA etwas dilatiert	RV	LV normal weit
LA etwas dilatiert	RV	LV normal weit
RA LA dilatiert	RV	LV normal weit
Impedanz atrial ÐÐÐ	RV	ÐÐÐ LV ÐÐÐ
bei Pflastern einsehbar	RV	LV normal weit
Ð mV im	RV	Reizschwelle Ð Ð
RA LA dilatiert	RV	etwas dilatiert LV
Ð Ð und	RV	Ð Ð Ð
LA etwas dilatiert	RV	grenzwertig weit LV
LA etwas dilatiert	RV	grenzwertig weit LV
ÐÐV Ð Ðmsec	RV	Ð ÐÐV Ð
Schockimpedanz ÐÐ Reizschwelle	RV	Ð ÐÐV Ð
Welle Ð Ð	RV	Ð Ð LV
Welle Ð Ð	RV	Ð Ð LV
SM Sonde im	RV	orthotop kein Perikarderguß
RELEVANTE BEFUNDE USKG	RV	LV normal weit
RELEVANTE BEFUNDE USKG	RV	normal weit übrige
normal groß normale	RVF	Ð re VH
ÐÐ mmHg EKG	SB	ÐÐ min Indifferenztyp
besteht eine VHFA	SM	Aktivität im VVI
ÐÐ ÐÐmmHg syst	SM	Sonde in RV
RELEVANTE BEFUNDE EKG	SR	ÐÐ min IT
RELEVANTE BEFUNDE EKG	SR	ÐÐ min IT
RELEVANTE BEFUNDE EKG	SR	ÐÐ min IT
RELEVANTE BEFUNDE EKG	SR	ÐÐ min Indiff
RELEVANTE BEFUNDE EKG	SR	ÐÐ min Indiff
RELEVANTE BEFUNDE EKG	SR	ÐÐ min Indiff
ÐÐ mmHg EKG	SR	ÐÐ min Linkstyp
ÐÐ mmHg EKG	SR	ÐÐ min Linkstyp
ÐÐ mmHg EKG	SR	ÐÐ min Linkstyp
ÐÐ mmHg EKG	SR	ÐÐ min Linkstyp
RELEVANTE BEFUNDE EKG	SR	ÐÐ min ÜLT
RELEVANTE BEFUNDE EKG	SR	ÐÐ min ÜLT
RELEVANTE BEFUNDE EKG	SR	Indiff Typ träger
ÐÐ mmHg EKG	SR	ÐÐ min Steiltyp
ÐÐ mmHg EKG	SR	ÐÐ min Steiltyp
ÐÐ mmHg EKG	SR	ÐÐ min Steiltyp
ÐÐ mmHg EKG	SR	ÐÐ min Steiltyp
RELEVANTE BEFUNDE EKG	SR	ÐÐ min LT
RELEVANTE BEFUNDE EKG	SR	ÐÐ min LT
Ð ÐÐÐÐ Permanenter	SR	mit einem HF
mmHg f EKG	SR	ÐÐ min IT
ÐÐÐ mmHg EKG	SR	ÐÐ min Linkstyp
ÐÐ mmHg EKG	SR	ÐÐ min Indifferenztyp
ÐÐ mmHg EKG	SR	ÐÐ min Indifferenztyp
ÐÐ mmHg EKG	SR	ÐÐ min Indifferenztyp
ÐÐ mmHg EKG	SR	ÐÐ min Indifferenztyp
RELEVANTE BEFUNDE EKG	SR	ÐÐ min Linkstyp
RELEVANTE BEFUNDE EKG	SR	ÐÐ min überdrehter
ÐÐÐ ÐÐmmHg EKG	SR	ÐÐ min Indiff
RELEVANTE BEFUNDE EKG	SR	Indiff Typ Q
RELEVANTE BEFUNDE EKG	SR	Indiff Typ Q
RELEVANTE BEFUNDE EKG	SR	ÐÐ min üLT
RELEVANTE BEFUNDE EKG	SR	Steiltyp träger R
RELEVANTE BEFUNDE EKG	SR	Steiltyp träger R
RELEVANTE BEFUNDE EKG	SR	IT PQ normal
RELEVANTE BEFUNDE EKG	SR	LT träger R
ÐÐÐ ÐÐmmHg EKG	SR	ÐÐ min LT
RELEVANTE BEFUNDE EKG	SR	ÐÐÐ min LT
ÐÐÐ mmHg EKG	SR	ÐÐ min Steiltyp
VÐ geringe desc	ST	Senkung und präterm
in VÐ desc	ST	Senkung und präterm
Ð NSTEMI Nicht	ST	Hebungsinfarkt IÐÐ Ð
jedoch geringe descendierende	ST	Senkung und präterm
VÐ deutl desc	ST	Senkung und präterm
Ð NSTEMI Nicht	ST	Hebungsinfarkt St p
keine AP keine	ST	Senkung jedoch polytope
besteht eine paroxysmale	SVT	Die Pat wird
Ð Ð Ð	TASS	ÐÐÐmg Ð Ð
Ð Ð Ð	TASS	ÐÐÐmg Ð Ð
Ð Ð Ð	TASS	ÐÐÐ Ð Ð
ÐÐ Uhr MEDIKATION	TASS	ÐÐÐmg Ð Ð
Kein Pericarderguss MEDIKATION	TASS	ÐÐÐmg Ð Ð
für ÐÐ Tage	TASS	ÐÐÐmg ÐxÐ für
Ð Ð Ð	TASS	ÐÐÐ mg Ð
zur Durchführung einer	TEE	und Koronarangiographie mit
BD weich über	THN	kein DS keine
ÐÐ MINS I	TRINS	II mit max
geringgradige MINS geringgradige	TRINS	mit einem max
ÐÐ MINS I	TRINS	I mit max
geringgr MINS geringgr	TRINS	mit einem max
EF ÐÐ ÐÐ	TRINS	I mit max
Trikuspidalklappe unauff leichte	TRINS	Ð systol Pulmonalisdruck
MINS II vorhanden	TRINS	I mit einem
ÐÐmmHg MINS I	TRINS	I mit max
in RV orthotop	TRINS	Ð I kein
ÐÐmmHg MINS I	TRINS	III mit max
auch MINS I	TRINS	I arterielle und
EF ÐÐ ÐÐ	TRINS	II mit max
geringgr AINS mittelgr	TRINS	mit einem max
MINS I II	TRINS	II III mit
DS DG lebhaft	UE	bds keine Beinödeme
DS DG lebhaft	UE	bds diskrete Beinödeme
das Tragen von	US	Kompressionsstrümpfen tagsüber Wir
p PAE bei	US	Venenthrombose bds ÐÐ
liventr T Abfl	USKG	RA LA grenzwertig
liventr T Abfl	USKG	RA LA grenzwertig
liventr T Abfl	USKG	RA LA grenzwertig
VÐ Endstrecken konkordant	USKG	RA LA grenzwertig
DIAGNOSEN RELEVANTE BEFUNDE	USKG	RA LA etwas
T VÐ Ð	USKG	RA LA etwas
DIAGNOSEN RELEVANTE BEFUNDE	USKG	RA LA grenzwertig
Ð wurde ein	USKG	durchgeführt das eine
liventr T Abfl	USKG	RA LA dilatiert
liventr T Abfl	USKG	RA LA dilatiert
DIAGNOSEN RELEVANTE BEFUNDE	USKG	Alle Herzhöhlen normal
DIAGNOSEN RELEVANTE BEFUNDE	USKG	Alle Herzhöhlen normal
Elektrophysiologische Untersuchung Ablation	USKG	Indikation Dokumentierte Schmalkomplextachykardie
Elektrophysiologische Untersuchung Ablation	USKG	Indikation Dokumentierte Schmalkomplextachykardie
aVL VÐ Ð	USKG	RA LA grenzwertig
liventr T Abfl	USKG	Alle Herzhöhlen normal
PROZEDERE Konservative Therapie	USKG	Befund gute Untersuchungsqualität
liventr T Abfl	USKG	Alle Herzhöhlen grenzwertig
Arteria Iliaca Communis	USKG	Ð Normal großer
VÐ u VÐ	USKG	Befund gute Untersuchungsqualität
VÐ Endstr konk	USKG	RA LA grenzwertig
Geräusche hörbar Pulmo	VA	bds keine RG
Geräusche hörbar Pulmo	VA	bds keine RG
Geräusche hörbar Pulmo	VA	bds keine RG
rh nc Pulmo	VA	bds keine RGs
rh rein Pulmo	VA	bds Extremitäten keine
keine HGs Pulmo	VA	bds keine RGs
nc rein Pulmo	VA	bds Extremitäten keine
pathol HGs Pulmo	VA	bds keine RGs
rh rein Pulmo	VA	bds keine RG
Collum unauff Lunge	VA	bds keine RG
nc rein Pulmo	VA	bds keine RGs
nc rein Pulmo	VA	bds keine RGs
patholog Geräusche Pulmo	VA	bds Keine prätib
Geräusche hörbar Pulmo	VA	bds kein Husten
rh rein Lunge	VA	bds keine RG
Geräusche hörbar Pulmo	VA	bds verstärktes Atemgeräusch
und Mitralklappe Pulmo	VA	bds keine RG
SM Aktivität im	VAT	Mode mit adäquater
SM Aktivität im	VAT	Mode mit adäquatem
EKG idem zum	VB	MEDIKATION Thrombo Ass
in VÐ keine	VES	USKG RA LA
RVF Ð li	VH	stark vergr re
mittelgrad vergr re	VH	leicht vergr Ð
RVF Ð re	VH	mittelgrad vergr li
